Nombre,Hora,Diferencia_Minutos
[D] X CENTENARIO A SEGUI,00:32:53
[D] X CENTENARIO A SEGUI,06:02:53
[G] X 19 X BELGRANO A.SEGUI,06:28:53
[D] X CENTENARIO A SEGUI,06:52:53
[G] X 19 X BELGRANO A.SEGUI,07:03:53
[D] X CENTENARIO A SEGUI,07:22:53
[G] X 19 X BELGRANO A.SEGUI,07:33:53
[D] X CENTENARIO A SEGUI,07:52:53
[D] X CENTENARIO A SEGUI,08:22:53
[G] X 19 X BELGRANO A.SEGUI,08:33:53
[D] X CENTENARIO A SEGUI,08:52:53
[G] X 19 X BELGRANO A.SEGUI,09:03:53
[D] X CENTENARIO A SEGUI,09:22:53
[G] X 19 X BELGRANO A.SEGUI,09:33:53
[G] X 19 X BELGRANO A.SEGUI,10:03:53
[D] X CENTENARIO A SEGUI,10:22:53
[G] X 19 X BELGRANO A.SEGUI,10:33:53
[D] X CENTENARIO A SEGUI,10:57:53
[D] X CENTENARIO A SEGUI,11:22:53
[G] X 19 X BELGRANO A.SEGUI,11:33:53
[D] X CENTENARIO A SEGUI,11:52:53
[G] X 19 X BELGRANO A.SEGUI,12:03:53
[D] X CENTENARIO A SEGUI,12:22:53
[D] X CENTENARIO A SEGUI,12:52:53
[G] X 19 X BELGRANO A.SEGUI,13:03:53
[D] X CENTENARIO A SEGUI,13:22:53
[D] X CENTENARIO A SEGUI,13:52:53
[G] X 19 X BELGRANO A.SEGUI,14:03:53
[D] X CENTENARIO A SEGUI,14:22:53
[G] X 19 X BELGRANO A.SEGUI,14:46:53
[D] X CENTENARIO A SEGUI,14:52:53
[G] X 19 X BELGRANO A.SEGUI,15:23:53
[D] X CENTENARIO A SEGUI,15:24:53
[D] X CENTENARIO A SEGUI,15:52:53
[G] X 19 X BELGRANO A.SEGUI,16:06:53
[G] X 19 X BELGRANO A.SEGUI,16:33:53
[D] X CENTENARIO A SEGUI,16:42:53
[G] X 19 X BELGRANO A.SEGUI,17:13:53
[D] X CENTENARIO A SEGUI,17:27:53
[G] X 19 X BELGRANO A.SEGUI,17:53:53
[D] X CENTENARIO A SEGUI,18:07:53
[G] X 19 X BELGRANO A.SEGUI,18:33:53
[D] X CENTENARIO A SEGUI,18:42:53
[D] X CENTENARIO A SEGUI,19:12:53
[G] X 19 X BELGRANO A.SEGUI,19:13:53
[D] X CENTENARIO A SEGUI,19:42:53
[G] X 19 X BELGRANO A.SEGUI,19:53:53
[G] X 19 X BELGRANO A.SEGUI,20:33:53
[D] X CENTENARIO A SEGUI,20:48:53
[G] X 19 X BELGRANO A.SEGUI,20:58:53
[D] X CENTENARIO A SEGUI,21:32:53
[G] X 19 X BELGRANO A.SEGUI,21:48:53
[D] X CENTENARIO A SEGUI,21:55:53
[G] X 19 X BELGRANO A.SEGUI,23:25:53
