Nombre,Hora
[TOP] A V. ELISA X CENTENARIO,17:04:06
[BG]CEMENT X BELG. A GUTIERREZ,17:06:45
[338] A MORON (X RUTA 4),17:12:30
[B11] CEMENT. X BELG. A C BELL,17:18:45
[D] X CENTENARIO A SEGUI,17:26:44
[338] A SAN JUSTO (X PASCO),17:41:45
[G] X 19 X BELGRANO A.SEGUI,17:51:44
[F] X19 X CENTENARIO A GORINA,17:53:47
[338] A VARELA (X CENTENARIO),17:58:30
[A1] CEMENT. L.P. A 32 Y 120,18:03:44
[D] X CENTENARIO A SEGUI,18:06:44
[338] A MORON (X RUTA 4),18:12:30
[BC] CEMENT. X BELG. A C BELL,18:18:45
[D] X CENTENARIO A SEGUI,18:26:44
[TOP] A V. ELISA X CENTENARIO,18:34:06
[HX28] CLUB.EST. A ARCO.,18:38:18
[338] A SAN JUSTO (X PASCO),18:38:30
[C] CEMENT. POR BELG. A GORINA,18:43:44
[G] X 19 X BELGRANO A.SEGUI,18:51:44
[I] X CENTENARIO LOS PORTEÑOS,18:53:44
[338] A VARELA (X CENTENARIO),18:58:30
[BG]CEMENT X BELG. A GUTIERREZ,19:06:45
[338] A MORON (X RUTA 4),19:12:30
[B11] CEMENT. X BELG. A C BELL,19:18:45
[418] A BERAZATEGUI,19:25:01
[D] X CENTENARIO A SEGUI,19:26:44
[338] A SAN JUSTO (X PASCO),19:38:30
[A1] CEMENT. L.P. A 32 Y 120,19:38:44
[G] X 19 X BELGRANO A.SEGUI,19:51:44
[F] X19 X CENTENARIO A GORINA,19:53:47
[TOP] A V. ELISA X CENTENARIO,20:00:04
[338] A VARELA (X CENTENARIO),20:01:30
[BG]CEMENT X BELG. A GUTIERREZ,20:06:45
[338] A MORON (X RUTA 4),20:12:30
[BC] CEMENT. X BELG. A C BELL,20:13:45
[D] X CENTENARIO A SEGUI,20:26:44
[HX28] CLUB.EST. A ARCO.,20:33:18
[338] A SAN JUSTO (X PASCO),20:38:30
[C] CEMENT. POR BELG. A GORINA,20:43:44
[I] X CENTENARIO LOS PORTEÑOS,20:53:44
[338] A VARELA (X CENTENARIO),21:01:30
[G] X 19 X BELGRANO A.SEGUI,21:11:44
[338] A MORON (X RUTA 4),21:12:30
[D] X CENTENARIO A SEGUI,21:26:44
[338] A SAN JUSTO (X PASCO),21:38:30
[G] X 19 X BELGRANO A.SEGUI,21:56:44
[338] A VARELA (X CENTENARIO),22:01:30
[338] A MORON (X RUTA 4),22:12:30
[I] X CENTENARIO LOS PORTEÑOS,22:23:44
[338] A SAN JUSTO (X PASCO),22:38:30
[A1] CEMENT. L.P. A 32 Y 120,22:53:44
[338] A MORON (X RUTA 4),23:12:30
[D] X CENTENARIO A SEGUI,23:26:44
[338] A SAN JUSTO (X PASCO),23:41:45
