Nombre,Hora,Diferencia_Minutos
[BC] CEMENT. X BELG. A C BELL,20:08:29
[D] X CENTENARIO A SEGUI,20:19:19
[HX28] CLUB.EST. A ARCO.,20:28:29
[C] CEMENT. POR BELG. A GORINA,20:38:29
[I] X CENTENARIO LOS PORTEÑOS,20:48:29
[G] X 19 X BELGRANO A.SEGUI,21:04:20
[D] X CENTENARIO A SEGUI,21:19:19
[G] X 19 X BELGRANO A.SEGUI,21:49:20
[I] X CENTENARIO LOS PORTEÑOS,22:18:29
[A1] CEMENT. L.P. A 32 Y 120,22:48:29
[D] X CENTENARIO A SEGUI,23:19:19
