Nombre,Hora,Diferencia_Minutos
[A1] CEMENT. L.P. A 32 Y 120,11:13:44
[338] A SAN JUSTO (X PASCO),11:15:45
[C] CEMENT. POR BELG. A GORINA,11:25:44
[D] X CENTENARIO A SEGUI,11:26:44
[TOP] A V. ELISA X CENTENARIO,11:29:06
[HX28] CLUB.EST. A ARCO.,11:33:18
[338] A MORON (X RUTA 4),11:36:30
[G] X 19 X BELGRANO A.SEGUI,11:41:44
[338] A VARELA (X CENTENARIO),11:50:30
[BC] CEMENT. X BELG. A C BELL,11:53:45
[F] X19 X CENTENARIO A GORINA,11:55:47
[D] X CENTENARIO A SEGUI,11:56:44
[338] A SAN JUSTO (X PASCO),12:03:45
[HX28] CLUB.EST. A ARCO.,12:04:18
[I] HASTA COUNTRY LOMAS IDA,12:10:44
[G] X 19 X BELGRANO A.SEGUI,12:11:44
[A1] CEMENT. L.P. A 32 Y 120,12:13:44
[BG]CEMENT X BELG. A GUTIERREZ,12:18:45
[TOP] A V. ELISA X CENTENARIO,12:19:06
[D] X CENTENARIO A SEGUI,12:26:44
[338] A SAN JUSTO (X RUTA 4),12:27:46
[418] A BERAZATEGUI,12:31:01
[G] X 19 X BELGRANO A.SEGUI,12:41:44
[B11] CEMENT. X BELG. A C BELL,12:43:45
[F] X19 X CENTENARIO A GORINA,12:43:47
[338] A MORON (X PASCO),12:46:30
[I] X CENTENARIO LOS PORTEÑOS,12:48:44
[A1] CEMENT. L.P. A 32 Y 120,12:53:44
[C] CEMENT. POR BELG. A GORINA,12:53:44
[D] X CENTENARIO A SEGUI,12:56:44
[5]- A BARRIO SAVOIA,12:58:08
[338] A VARELA (X CENTENARIO),13:02:30
[TOP] A V. ELISA X CENTENARIO,13:04:06
[G] X 19 X BELGRANO A.SEGUI,13:11:44
[338] A MORON (X RUTA 4),13:14:45
[D] X CENTENARIO A SEGUI,13:26:44
[HX28] CLUB.EST. A ARCO.,13:33:18
[338] A MORON (X PASCO),13:34:30
[BG]CEMENT X BELG. A GUTIERREZ,13:36:45
[I] X CENTENARIO LOS PORTEÑOS,13:38:44
[G] X 19 X BELGRANO A.SEGUI,13:41:44
[A1] CEMENT. L.P. A 32 Y 120,13:43:44
[BC] CEMENT. X BELG. A C BELL,13:53:45
[TOP] A V. ELISA X CENTENARIO,13:57:06
[D] X CENTENARIO A SEGUI,13:58:44
[338] A MORON (X RUTA 4),14:00:30
[418] A BERAZATEGUI,14:21:01
[338] A MORON (X PASCO),14:22:30
[D] X CENTENARIO A SEGUI,14:22:44
[C] CEMENT. POR BELG. A GORINA,14:23:44
[I] X CENTENARIO LOS PORTEÑOS,14:28:44
[HX28] CLUB.EST. A ARCO.,14:33:18
[A1] CEMENT. L.P. A 32 Y 120,14:33:44
[338] A VARELA (X CENTENARIO),14:41:30
[G] X 19 X BELGRANO A.SEGUI,14:41:44
[TOP] A V. ELISA X CENTENARIO,14:42:06
[F] X19 X CENTENARIO A GORINA,14:43:47
[5]- A BARRIO SAVOIA,14:48:08
[B11] CEMENT. X BELG. A C BELL,14:53:45
[D] X CENTENARIO A SEGUI,14:56:44
[338] A MORON (X RUTA 4),14:56:45
[BG]CEMENT X BELG. A GUTIERREZ,14:56:45
[I] HASTA COUNTRY LOMAS IDA,14:58:44
[G] X 19 X BELGRANO A.SEGUI,15:11:44
[A1] CEMENT. L.P. A 32 Y 120,15:23:44
[C] CEMENT. POR BELG. A GORINA,15:23:44
[TOP] A V. ELISA X CENTENARIO,15:24:06
[D] X CENTENARIO A SEGUI,15:26:44
[338] A SAN JUSTO (X PASCO),15:27:45
[HX28] CLUB.EST. A ARCO.,15:33:18
[338] A VARELA (X CENTENARIO),15:41:30
[G] X 19 X BELGRANO A.SEGUI,15:41:44
[BC] CEMENT. X BELG. A C BELL,15:53:45
[F] X19 X CENTENARIO A GORINA,15:53:47
[338] A SAN JUSTO (X RUTA 4),15:57:46
[I] X CENTENARIO LOS PORTEÑOS,16:08:44
[TOP] A V. ELISA X CENTENARIO,16:09:06
[418] A BERAZATEGUI,16:11:01
[G] X 19 X BELGRANO A.SEGUI,16:11:44
[A1] CEMENT. L.P. A 32 Y 120,16:13:44
[BG]CEMENT X BELG. A GUTIERREZ,16:16:45
[C] CEMENT. POR BELG. A GORINA,16:23:44
[D] X CENTENARIO A SEGUI,16:26:44
[338] A MORON (X PASCO),16:27:45
[HX28] CLUB.EST. A ARCO.,16:33:18
[G] X 19 X BELGRANO A.SEGUI,16:41:44
[5]- A BARRIO SAVOIA,16:48:08
[I] HASTA COUNTRY LOMAS IDA,16:48:44
[338] A MORON (X RUTA 4),16:50:45
[F] X19 X CENTENARIO A GORINA,16:53:47
[D] X CENTENARIO A SEGUI,16:56:44
[TOP] A V. ELISA X CENTENARIO,16:59:06
[338] A VARELA (X CENTENARIO),17:02:30
[A1] CEMENT. L.P. A 32 Y 120,17:10:44
[G] X 19 X BELGRANO A.SEGUI,17:11:44
[338] A SAN JUSTO (X PASCO),17:15:45
[C] CEMENT. POR BELG. A GORINA,17:23:44
[F] X19 X CENTENARIO A GORINA,17:23:47
[D] X CENTENARIO A SEGUI,17:29:44
[HX28] CLUB.EST. A ARCO.,17:33:18
[BG]CEMENT X BELG. A GUTIERREZ,17:36:45
[338] A MORON (X RUTA 4),17:38:45
[G] X 19 X BELGRANO A.SEGUI,17:41:44
[TOP] A V. ELISA X CENTENARIO,17:44:06
[I] X CENTENARIO LOS PORTEÑOS,17:48:44
[BC] CEMENT. X BELG. A C BELL,17:53:45
[F] X19 X CENTENARIO A GORINA,17:53:47
[A1] CEMENT. L.P. A 32 Y 120,17:56:44
[D] X CENTENARIO A SEGUI,17:56:44
[418] A BERAZATEGUI,18:01:01
[338] A SAN JUSTO (X PASCO),18:02:45
[G] X 19 X BELGRANO A.SEGUI,18:11:44
[I] X CENTENARIO LOS PORTEÑOS,18:13:44
[338] A VARELA (X CENTENARIO),18:14:30
[C] CEMENT. POR BELG. A GORINA,18:23:44
[338] A MORON (X RUTA 4),18:24:30
[D] X CENTENARIO A SEGUI,18:26:44
[HX28] CLUB.EST. A ARCO.,18:33:18
[TOP] A V. ELISA X CENTENARIO,18:34:06
[I] X CENTENARIO LOS PORTEÑOS,18:38:44
[G] X 19 X BELGRANO A.SEGUI,18:41:44
[5]- A BARRIO SAVOIA,18:48:08
[F] X19 X CENTENARIO A GORINA,18:53:47
[338] A SAN JUSTO (X PASCO),18:54:30
[D] X CENTENARIO A SEGUI,18:56:44
[BG]CEMENT X BELG. A GUTIERREZ,18:56:45
[G] X 19 X BELGRANO A.SEGUI,19:09:18
[A1] CEMENT. L.P. A 32 Y 120,19:13:18
[TOP] A V. ELISA X CENTENARIO,19:19:04
[C] CEMENT. POR BELG. A GORINA,19:23:19
[D] X CENTENARIO A SEGUI,19:24:18
[B11] CEMENT. X BELG. A C BELL,19:25:19
[338] A MORON (X RUTA 4),19:26:45
[I] X CENTENARIO LOS PORTEÑOS,19:28:18
[A1] CEMENT. L.P. A 32 Y 120,19:33:18
[HX28] CLUB.EST. A ARCO.,19:33:18
[G] X 19 X BELGRANO A.SEGUI,19:39:18
[338] A VARELA (X CENTENARIO),19:41:30
[418] A BERAZATEGUI,19:50:01
[F] X19 X CENTENARIO A GORINA,19:52:53
[D] X CENTENARIO A SEGUI,19:54:18
[338] A SAN JUSTO (X PASCO),19:57:45
[I] X CENTENARIO LOS PORTEÑOS,19:58:18
[TOP] A V. ELISA X CENTENARIO,20:00:04
[G] X 19 X BELGRANO A.SEGUI,20:09:18
[BG]CEMENT X BELG. A GUTIERREZ,20:15:19
[F] X19 X CENTENARIO A GORINA,20:22:53
[A1] CEMENT. L.P. A 32 Y 120,20:23:18
[D] X CENTENARIO A SEGUI,20:24:18
[BC] CEMENT. X BELG. A C BELL,20:25:19
[338] A MORON (X RUTA 4),20:26:45
[I] X CENTENARIO LOS PORTEÑOS,20:28:18
[HX28] CLUB.EST. A ARCO.,20:33:18
[G] X 19 X BELGRANO A.SEGUI,20:39:18
[TOP] A V. ELISA X CENTENARIO,20:41:04
[338] A SAN JUSTO (X PASCO),20:57:45
[D] X CENTENARIO A SEGUI,21:09:18
[I] X CENTENARIO LOS PORTEÑOS,21:28:18
[HX28] CLUB.EST. A ARCO.,21:33:18
[338] A MORON (X RUTA 4),21:36:45
[G] X 19 X BELGRANO A.SEGUI,21:59:18
[F] X19 X CENTENARIO A GORINA,22:02:53
[D] X CENTENARIO A SEGUI,22:04:18
[338] A SAN JUSTO (X PASCO),22:17:45
[A1] CEMENT. L.P. A 32 Y 120,22:18:18
[I] X CENTENARIO LOS PORTEÑOS,22:28:18
[D] X CENTENARIO A SEGUI,22:44:18
[338] A MORON (X RUTA 4),23:04:45
[C] CEMENT. POR BELG. A GORINA,23:09:19
[G] X 19 X BELGRANO A.SEGUI,23:24:18
[D] X CENTENARIO A SEGUI,23:34:18
[338] A SAN JUSTO (X PASCO),23:42:30
