Nombre,Hora,Diferencia_Minutos
[HX28] CLUB.EST. A ARCO.,07:40:09,4
[D] X CENTENARIO A SEGUI,07:42:09,2
[C] CEMENT. POR BELG. A GORINA,07:46:19,4
[F] X19 X CENTENARIO A GORINA,07:50:09,4
[BG]CEMENT X BELG. A GUTIERREZ,07:52:09,2
[A1] CEMENT. L.P. A 32 Y 120,07:53:19,1
[G] X 19 X BELGRANO A.SEGUI,07:54:29,1
[D] X CENTENARIO A SEGUI,07:58:09,4
[HX28] CLUB.EST. A ARCO.,08:02:09,4
[BC] CEMENT. X BELG. A C BELL,08:05:09,3
[I] X CENTENARIO LOS PORTEÑOS,08:06:09,1
[C] CEMENT. POR BELG. A GORINA,08:06:19,0
[A1] CEMENT. L.P. A 32 Y 120,08:11:19,5
[D] X CENTENARIO A SEGUI,08:14:09,3
[G] X BELGRANO X19 A SEGUI..,08:16:29,2
[C] CEMENT. POR BELG. A GORINA,08:19:19,3
[BG]CEMENT X BELG. A GUTIERREZ,08:22:09,3
[F] X19 X CENTENARIO A GORINA,08:22:09,0
[HX28] CLUB.EST. A ARCO.,08:27:09,5
[D] X CENTENARIO A SEGUI,08:30:09,3
[A1] CEMENT. L.P. A 32 Y 120,08:33:19,3
[B11] CEMENT. X BELG. A C BELL,08:35:09,2
[G] X 19 X BELGRANO A.SEGUI,08:36:29,1
[I] X CENTENARIO LOS PORTEÑOS,08:39:09,3
[5]- A BARRIO SAVOIA,08:47:33,8
[D] X CENTENARIO A SEGUI,08:48:09,1
[BG]CEMENT X BELG. A GUTIERREZ,08:52:09,4
[A1] CEMENT. L.P. A 32 Y 120,08:53:19,1
[CX1Y50] X BELG. A GORINA,08:54:40,1
[G] X BELGRANO X19 A SEGUI..,08:56:29,2
[F] X19 X CENTENARIO A GORINA,08:57:09,1
[BC] CEMENT. X BELG. A C BELL,09:02:09,5
[HX28] CLUB.EST. A ARCO.,09:05:09,3
[D] X CENTENARIO A SEGUI,09:06:09,1
[A1] CEMENT. L.P. A 32 Y 120,09:13:19,7
[I] X CENTENARIO LOS PORTEÑOS,09:15:09,2
[G] X 19 X BELGRANO A.SEGUI,09:16:29,1
[C] CEMENT. POR BELG. A GORINA,09:21:19,5
[D] X CENTENARIO A SEGUI,09:24:09,3
[B11] CEMENT. X BELG. A C BELL,09:25:09,1
[F] X19 X CENTENARIO A GORINA,09:33:09,8
[A1] CEMENT. L.P. A 32 Y 120,09:33:19,0
[G] X BELGRANO X19 A SEGUI..,09:36:29,3
[BG]CEMENT X BELG. A GUTIERREZ,09:37:09,1
[D] X CENTENARIO A SEGUI,09:42:09,5
[BC] CEMENT. X BELG. A C BELL,09:45:09,3
[HX28] CLUB.EST. A ARCO.,09:47:09,2
[C] CEMENT. POR BELG. A GORINA,09:48:19,1
[I] X CENTENARIO LOS PORTEÑOS,09:51:09,3
[A1] CEMENT. L.P. A 32 Y 120,09:53:19,2
[G] X 19 X BELGRANO A.SEGUI,09:56:29,3
[D] X CENTENARIO A SEGUI,10:00:09,4
[HX28] CLUB.EST. A ARCO.,10:07:09,7
[F] X19 X CENTENARIO A GORINA,10:09:09,2
[A1] CEMENT. L.P. A 32 Y 120,10:13:19,4
[B11] CEMENT. X BELG. A C BELL,10:15:09,2
[G] X 19 X BELGRANO A.SEGUI,10:16:29,1
[D] X CENTENARIO A SEGUI,10:18:09,2
[BG]CEMENT X BELG. A GUTIERREZ,10:22:09,4
[I] X CENTENARIO LOS PORTEÑOS,10:27:09,5
[BC] CEMENT. X BELG. A C BELL,10:29:09,2
[A1] CEMENT. L.P. A 32 Y 120,10:33:19,4
[C] CEMENT. POR BELG. A GORINA,10:34:19,1
[D] X CENTENARIO A SEGUI,10:36:09,2
[G] X BELGRANO X19 A SEGUI..,10:36:29,0
[B11] CEMENT. X BELG. A C BELL,10:42:09,6
[HX28] CLUB.EST. A ARCO.,10:44:09,2
[F] X19 X CENTENARIO A GORINA,10:45:09,1
[5]- A BARRIO SAVOIA,10:47:33,2
[CX1Y50] X BELG. A GORINA,10:48:40,1
[A1] CEMENT. L.P. A 32 Y 120,10:53:19,5
[D] X CENTENARIO A SEGUI,10:54:09,1
[BC] CEMENT. X BELG. A C BELL,10:56:09,2
[G] X 19 X BELGRANO A.SEGUI,10:56:29,0
[I] X CENTENARIO LOS PORTEÑOS,11:01:09,5
[C] CEMENT. POR BELG. A GORINA,11:01:19,0
[BG]CEMENT X BELG. A GUTIERREZ,11:07:09,6
[D] X CENTENARIO A SEGUI,11:12:09,5
[A1] CEMENT. L.P. A 32 Y 120,11:13:19,1
[B11] CEMENT. X BELG. A C BELL,11:15:09,2
[G] X BELGRANO X19 A SEGUI..,11:16:29,1
[F] X19 X CENTENARIO A GORINA,11:21:09,5
[HX28] CLUB.EST. A ARCO.,11:22:09,1
[C] CEMENT. POR BELG. A GORINA,11:23:19,1
[D] X CENTENARIO A SEGUI,11:30:09,7
[A1] CEMENT. L.P. A 32 Y 120,11:33:19,3
[BC] CEMENT. X BELG. A C BELL,11:35:09,2
[G] X 19 X BELGRANO A.SEGUI,11:36:29,1
[F] X19 X CENTENARIO A GORINA,11:37:09,1
[I] X CENTENARIO LOS PORTEÑOS,11:39:09,2
[C] CEMENT. POR BELG. A GORINA,11:39:19,0
[D] X CENTENARIO A SEGUI,11:46:09,7
[B11] CEMENT. X BELG. A C BELL,11:50:09,4
[BG]CEMENT X BELG. A GUTIERREZ,11:52:09,2
[A1] CEMENT. L.P. A 32 Y 120,11:53:19,1
[G] X BELGRANO X19 A SEGUI..,11:56:29,3
[F] X19 X CENTENARIO A GORINA,11:57:09,1
[I-AGRARIA] X LOMAS A RUTA 36,12:01:29,4
[D] X CENTENARIO A SEGUI,12:02:09,1
[C] CEMENT. POR BELG. A GORINA,12:03:19,1
[BC] CEMENT. X BELG. A C BELL,12:04:09,1
[HX28] CLUB.EST. A ARCO.,12:07:09,3
[C] CEMENT. POR BELG. A GORINA,12:11:19,4
[A1] CEMENT. L.P. A 32 Y 120,12:13:19,2
[I] X CENTENARIO LOS PORTEÑOS,12:15:09,2
[G] X 19 X BELGRANO A.SEGUI,12:16:29,1
[D] X CENTENARIO A SEGUI,12:18:09,2
[HX28] CLUB.EST. A ARCO.,12:31:09,13
[F] X19 X CENTENARIO A GORINA,12:33:09,2
