latitud,longitud,identificador
-34.831508,-58.174333,LP18253
-34.827223,-58.181603,LP18501
-34.947186,-57.947656,LP10314
-34.949002,-57.949673,LP10315
-34.945277,-57.945547,LP10316
-34.854369,-58.079997,LP10455
-34.856204,-58.082125,LP10457
-34.858713,-58.085212,LP10460
-34.860756,-58.087594,LP10462
-34.861813,-58.088789,LP10464
-34.866891,-58.094441,LP10465
-34.863458,-58.090607,LP10470
-34.869462,-58.096983,LP0669
-34.869093,-58.097176,LP10774
-34.871226,-58.092966,LP0776
-34.873136,-58.088332,LP0778
-34.873866,-58.086229,LP0780
-34.874870,-58.082431,LP0782
-34.875407,-58.080038,LP0784
-34.875935,-58.077860,LP0786
-34.876498,-58.075682,LP0788
-34.877176,-58.072796,LP0790
-34.878294,-58.068022,LP0792
-34.878901,-58.065393,LP0794
-34.879429,-58.063022,LP0796
-34.880256,-58.059578,LP0798
-34.850917,-58.089428,LP10861
-34.850392,-58.091368,LP10863
-34.849820,-58.093546,LP10865
-34.847637,-58.098771,LP10867
-34.834628,-58.182113,LP15809
-34.839737,-58.188457,LP1817
-34.829274,-58.183449,LP18503
-34.832074,-58.184790,LP18505
-34.833338,-58.185449,LP18507
-34.835099,-58.183180,LP18511
-34.834391,-58.185409,LP18513
-34.836303,-58.186853,LP18515
-34.853359,-58.080395,LP10854
-34.852651,-58.082827,LP10856
-34.851535,-58.087264,LP10858
-34.883518,-58.045417,LP0807
-34.884020,-58.043025,LP0809
-34.884627,-58.040493,LP0811
-34.885349,-58.038122,LP0813
-34.885930,-58.035718,LP0815
-34.886501,-58.033252,LP0817
-34.886977,-58.031127,LP0819
-34.887637,-58.028552,LP0821
-34.898619,-57.981484,LP0839
-34.898980,-57.979864,LP0841
-34.897631,-57.984465,LP11006
-34.894735,-57.999380,LP1396
-34.951027,-57.952988,LP2235
-34.896508,-58.001318,LP2347
-34.889080,-58.022048,LP2382
-34.888189,-58.025965,LP2384
-34.954526,-57.951175,LP2469
-34.956377,-57.948847,LP2471
-34.893652,-58.004567,LP2558
-34.892129,-58.009240,LP2560
-34.890986,-58.014116,LP2562
-34.890198,-58.017389,LP2564
-34.889731,-58.019449,LP2566
-34.882797,-58.048950,LP0805
-34.882265,-58.051164,LP0848
-34.831160,-58.175494,LP18246
-34.832472,-58.173165,LP18247
-34.834541,-58.169904,LP18248
-34.838663,-58.163188,LP18249
-34.841737,-58.158229,LP18260
-34.844035,-58.155445,LP18262
-34.844385,-58.143577,LP18263
-34.844792,-58.129524,LP18265
-34.845244,-58.116903,LP18266
-34.848128,-58.098624,LP18267
-34.869126,-58.097521,LP`10773
-34.949453,-57.948983,LP10321
-34.854285,-58.080492,LP10456
-34.856424,-58.082503,LP10458
-34.858264,-58.084764,LP10459
-34.860482,-58.087360,LP10461
-34.861451,-58.088455,LP10463
-34.866951,-58.095321,LP10466
-34.862926,-58.090068,LP10469
-34.879444,-58.063397,LP0727
-34.871234,-58.093440,LP0775
-34.873012,-58.088890,LP0777
-34.873848,-58.086670,LP0779
-34.875028,-58.082861,LP0781
-34.875406,-58.080522,LP0783
-34.876013,-58.078076,LP0785
-34.876621,-58.075211,LP0787
-34.877085,-58.073084,LP0789
-34.878234,-58.068277,LP0791
