Nombre,Hora,Diferencia_Minutos
[F] X19 X CENTENARIO A GORINA,06:13:46,2
[C] CEMENT. POR BELG. A GORINA,06:21:44,8
[D] X CENTENARIO A SEGUI,06:23:18,2
[BC] CEMENT. X BELG. A C BELL,06:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,06:38:44,6
[G] X 19 X BELGRANO A.SEGUI,06:41:44,3
[A1] CEMENT. L.P. A 32 Y 120,06:48:44,7
[BG]CEMENT X BELG. A GUTIERREZ,06:51:45,3
[D] X CENTENARIO A SEGUI,06:53:18,2
[HX28] CLUB.EST. A ARCO.,06:58:18,5
[F] X19 X CENTENARIO A GORINA,07:08:46,10
[G] X 19 X BELGRANO A.SEGUI,07:11:44,3
[D] X CENTENARIO A SEGUI,07:23:18,12
[B11] CEMENT. X BELG. A C BELL,07:32:45,9
[A1] CEMENT. L.P. A 32 Y 120,07:33:44,1
[I] X CENTENARIO LOS PORTEÑOS,07:38:44,5
[G] X 19 X BELGRANO A.SEGUI,07:41:44,3
[C] CEMENT. POR BELG. A GORINA,07:43:44,2
[D] X CENTENARIO A SEGUI,07:53:18,10
[F] X19 X CENTENARIO A GORINA,08:08:46,15
[G] X 19 X BELGRANO A.SEGUI,08:11:44,3
[A1] CEMENT. L.P. A 32 Y 120,08:18:44,7
[D] X CENTENARIO A SEGUI,08:23:18,5
[BC] CEMENT. X BELG. A C BELL,08:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,08:37:44,5
[G] X 19 X BELGRANO A.SEGUI,08:40:44,3
[BG]CEMENT X BELG. A GUTIERREZ,08:51:45,11
[D] X CENTENARIO A SEGUI,08:53:18,2
[HX28] CLUB.EST. A ARCO.,08:58:18,5
[F] X19 X CENTENARIO A GORINA,09:08:46,10
[G] X 19 X BELGRANO A.SEGUI,09:10:44,2
[A1] CEMENT. L.P. A 32 Y 120,09:16:44,6
[D] X CENTENARIO A SEGUI,09:23:18,7
[B11] CEMENT. X BELG. A C BELL,09:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,09:37:44,5
[G] X 19 X BELGRANO A.SEGUI,09:40:44,3
[C] CEMENT. POR BELG. A GORINA,09:44:44,4
[D] X CENTENARIO A SEGUI,09:53:18,9
[F] X19 X CENTENARIO A GORINA,10:08:46,15
[G] X 19 X BELGRANO A.SEGUI,10:10:44,2
[A1] CEMENT. L.P. A 32 Y 120,10:13:44,3
[D] X CENTENARIO A SEGUI,10:23:18,10
[BC] CEMENT. X BELG. A C BELL,10:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,10:37:44,5
[G] X 19 X BELGRANO A.SEGUI,10:40:44,3
[BG]CEMENT X BELG. A GUTIERREZ,10:51:45,11
[D] X CENTENARIO A SEGUI,10:53:18,2
[HX28] CLUB.EST. A ARCO.,10:58:18,5
[F] X19 X CENTENARIO A GORINA,11:08:46,10
[G] X 19 X BELGRANO A.SEGUI,11:10:44,2
[A1] CEMENT. L.P. A 32 Y 120,11:18:44,8
[D] X CENTENARIO A SEGUI,11:23:18,5
[B11] CEMENT. X BELG. A C BELL,11:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,11:37:44,5
[G] X 19 X BELGRANO A.SEGUI,11:40:44,3
[C] CEMENT. POR BELG. A GORINA,11:44:44,4
[D] X CENTENARIO A SEGUI,11:53:18,9
[A1] CEMENT. L.P. A 32 Y 120,12:03:44,10
[F] X19 X CENTENARIO A GORINA,12:08:46,5
[G] X 19 X BELGRANO A.SEGUI,12:10:44,2
[D] X CENTENARIO A SEGUI,12:23:18,13
[BC] CEMENT. X BELG. A C BELL,12:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,12:37:44,5
[G] X 19 X BELGRANO A.SEGUI,12:40:44,3
[A1] CEMENT. L.P. A 32 Y 120,12:48:44,8
[BG]CEMENT X BELG. A GUTIERREZ,12:51:45,3
[D] X CENTENARIO A SEGUI,12:53:18,2
[HX28] CLUB.EST. A ARCO.,12:58:18,5
[F] X19 X CENTENARIO A GORINA,13:08:46,10
[G] X 19 X BELGRANO A.SEGUI,13:10:44,2
[D] X CENTENARIO A SEGUI,13:23:18,13
[B11] CEMENT. X BELG. A C BELL,13:32:45,9
[A1] CEMENT. L.P. A 32 Y 120,13:33:44,1
[I] X CENTENARIO LOS PORTEÑOS,13:37:44,4
[G] X 19 X BELGRANO A.SEGUI,13:40:44,3
[C] CEMENT. POR BELG. A GORINA,13:44:44,4
[D] X CENTENARIO A SEGUI,13:53:18,9
[F] X19 X CENTENARIO A GORINA,14:08:46,15
[G] X 19 X BELGRANO A.SEGUI,14:10:44,2
[A1] CEMENT. L.P. A 32 Y 120,14:18:44,8
[D] X CENTENARIO A SEGUI,14:23:18,5
[BC] CEMENT. X BELG. A C BELL,14:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,14:37:44,5
[G] X 19 X BELGRANO A.SEGUI,14:40:44,3
[BG]CEMENT X BELG. A GUTIERREZ,14:51:45,11
[D] X CENTENARIO A SEGUI,14:53:18,2
[HX28] CLUB.EST. A ARCO.,14:58:18,5
[A1] CEMENT. L.P. A 32 Y 120,15:03:44,5
[F] X19 X CENTENARIO A GORINA,15:08:46,5
[G] X 19 X BELGRANO A.SEGUI,15:10:44,2
[D] X CENTENARIO A SEGUI,15:23:18,13
[B11] CEMENT. X BELG. A C BELL,15:32:45,9
[I] X CENTENARIO LOS PORTEÑOS,15:37:44,5
[G] X 19 X BELGRANO A.SEGUI,15:40:44,3
[A1] CEMENT. L.P. A 32 Y 120,15:48:44,8
[D] X CENTENARIO A SEGUI,15:53:18,5
[C] CEMENT. POR BELG. A GORINA,16:07:44,14
[F] X19 X CENTENARIO A GORINA,16:08:46,1
[G] X 19 X BELGRANO A.SEGUI,16:10:44,2
[D] X CENTENARIO A SEGUI,16:23:18,13
[BC] CEMENT. X BELG. A C BELL,16:32:45,9
[A1] CEMENT. L.P. A 32 Y 120,16:33:44,1
[I] X CENTENARIO LOS PORTEÑOS,16:37:44,4
[G] X 19 X BELGRANO A.SEGUI,16:40:44,3
[BG]CEMENT X BELG. A GUTIERREZ,16:51:45,11
[D] X CENTENARIO A SEGUI,16:53:18,2
[HX28] CLUB.EST. A ARCO.,16:58:18,5
[F] X19 X CENTENARIO A GORINA,17:08:46,10
[G] X 19 X BELGRANO A.SEGUI,17:10:44,2
[A1] CEMENT. L.P. A 32 Y 120,17:18:44,8
[D] X CENTENARIO A SEGUI,17:23:18,5
[B11] CEMENT. X BELG. A C BELL,17:32:45,9
[G] X 19 X BELGRANO A.SEGUI,17:35:44,3
[I] X CENTENARIO LOS PORTEÑOS,17:37:44,2
[D] X CENTENARIO A SEGUI,17:43:18,6
[C] CEMENT. POR BELG. A GORINA,17:49:44,6
[G] X 19 X BELGRANO A.SEGUI,17:55:44,6
[D] X CENTENARIO A SEGUI,18:03:18,8
[A1] CEMENT. L.P. A 32 Y 120,18:03:44,0
[I] X CENTENARIO LOS PORTEÑOS,18:07:44,4
[G] X 19 X BELGRANO A.SEGUI,18:15:44,8
[F] X19 X CENTENARIO A GORINA,18:16:46,1
[D] X CENTENARIO A SEGUI,18:23:18,7
[G] X 19 X BELGRANO A.SEGUI,18:35:44,12
[I] X CENTENARIO LOS PORTEÑOS,18:37:44,2
[D] X CENTENARIO A SEGUI,18:43:18,6
[BC] CEMENT. X BELG. A C BELL,18:43:45,0
[BG]CEMENT X BELG. A GUTIERREZ,18:51:45,8
[G] X 19 X BELGRANO A.SEGUI,18:55:44,4
[HX28] CLUB.EST. A ARCO.,18:58:18,3
[D] X CENTENARIO A SEGUI,19:03:18,5
[A1] CEMENT. L.P. A 32 Y 120,19:03:44,0
[G] X 19 X BELGRANO A.SEGUI,19:15:44,12
[F] X19 X CENTENARIO A GORINA,19:15:46,0
[D] X CENTENARIO A SEGUI,19:23:18,8
[G] X 19 X BELGRANO A.SEGUI,19:35:44,12
[I] X CENTENARIO LOS PORTEÑOS,19:37:44,2
[D] X CENTENARIO A SEGUI,19:43:18,6
[C] CEMENT. POR BELG. A GORINA,19:43:44,0
[BC] CEMENT. X BELG. A C BELL,19:48:45,5
[G] X 19 X BELGRANO A.SEGUI,19:55:44,7
[D] X CENTENARIO A SEGUI,20:03:18,8
[F] X19 X CENTENARIO A GORINA,20:08:46,5
[G] X 19 X BELGRANO A.SEGUI,20:16:44,8
[A1] CEMENT. L.P. A 32 Y 120,20:18:44,2
[D] X CENTENARIO A SEGUI,20:23:18,5
[B11] CEMENT. X BELG. A C BELL,20:32:45,9
[G] X 19 X BELGRANO A.SEGUI,20:36:44,4
[I] X CENTENARIO LOS PORTEÑOS,20:38:44,2
[C] CEMENT. POR BELG. A GORINA,20:41:44,3
[D] X CENTENARIO A SEGUI,20:48:18,7
[BG]CEMENT X BELG. A GUTIERREZ,20:51:45,3
[HX28] CLUB.EST. A ARCO.,20:53:18,2
[G] X 19 X BELGRANO A.SEGUI,21:06:44,13
[F] X19 X CENTENARIO A GORINA,21:18:46,12
[D] X CENTENARIO A SEGUI,21:23:18,5
[I] X CENTENARIO LOS PORTEÑOS,21:32:44,9
[G] X 19 X BELGRANO A.SEGUI,21:46:44,14
[D] X CENTENARIO A SEGUI,21:55:18,9
[G] X 19 X BELGRANO A.SEGUI,22:11:44,16
