Nombre,Hora,Diferencia_Minutos
[BG]CEMENT X BELG. A GUTIERREZ,13:06:45,13
[B11] CEMENT. X BELG. A C BELL,13:18:45,12
[D] X CENTENARIO A SEGUI,13:26:44,8
[G] X 19 X BELGRANO A.SEGUI,13:51:44,25
[F] X19 X CENTENARIO A GORINA,13:53:47,2
[A1] CEMENT. L.P. A 32 Y 120,14:03:44,10
[BC] CEMENT. X BELG. A C BELL,14:18:45,15
[D] X CENTENARIO A SEGUI,14:26:44,8
[HX28] CLUB.EST. A ARCO.,14:38:18,12
[C] CEMENT. POR BELG. A GORINA,14:43:44,5
[G] X 19 X BELGRANO A.SEGUI,14:51:44,8
[I] X CENTENARIO LOS PORTEÑOS,14:53:44,2
[BG]CEMENT X BELG. A GUTIERREZ,15:06:45,13
[B11] CEMENT. X BELG. A C BELL,15:18:45,12
[D] X CENTENARIO A SEGUI,15:26:44,8
[G] X 19 X BELGRANO A.SEGUI,15:51:44,25
[F] X19 X CENTENARIO A GORINA,15:53:47,2
[A1] CEMENT. L.P. A 32 Y 120,16:03:44,10
[BC] CEMENT. X BELG. A C BELL,16:18:45,15
[D] X CENTENARIO A SEGUI,16:26:44,8
[HX28] CLUB.EST. A ARCO.,16:38:18,12
[C] CEMENT. POR BELG. A GORINA,16:43:44,5
[G] X 19 X BELGRANO A.SEGUI,16:51:44,8
[I] X CENTENARIO LOS PORTEÑOS,16:53:44,2
[BG]CEMENT X BELG. A GUTIERREZ,17:06:45,13
[B11] CEMENT. X BELG. A C BELL,17:18:45,12
[D] X CENTENARIO A SEGUI,17:26:44,8
[G] X 19 X BELGRANO A.SEGUI,17:51:44,25
[F] X19 X CENTENARIO A GORINA,17:53:47,2
[A1] CEMENT. L.P. A 32 Y 120,18:03:44,10
[D] X CENTENARIO A SEGUI,18:06:44,3
[BC] CEMENT. X BELG. A C BELL,18:18:45,12
[D] X CENTENARIO A SEGUI,18:26:44,8
[HX28] CLUB.EST. A ARCO.,18:38:18,12
[C] CEMENT. POR BELG. A GORINA,18:43:44,5
[G] X 19 X BELGRANO A.SEGUI,18:51:44,8
[I] X CENTENARIO LOS PORTEÑOS,18:53:44,2
[BG]CEMENT X BELG. A GUTIERREZ,19:06:45,13
[B11] CEMENT. X BELG. A C BELL,19:18:45,12
[D] X CENTENARIO A SEGUI,19:26:44,8
[A1] CEMENT. L.P. A 32 Y 120,19:38:44,12
[G] X 19 X BELGRANO A.SEGUI,19:51:44,13
[F] X19 X CENTENARIO A GORINA,19:53:47,2
[BG]CEMENT X BELG. A GUTIERREZ,20:06:45,13
[BC] CEMENT. X BELG. A C BELL,20:13:45,7
[D] X CENTENARIO A SEGUI,20:26:44,13
[HX28] CLUB.EST. A ARCO.,20:33:18,7
[C] CEMENT. POR BELG. A GORINA,20:43:44,10
[I] X CENTENARIO LOS PORTEÑOS,20:53:44,10
[G] X 19 X BELGRANO A.SEGUI,21:11:44,18
[D] X CENTENARIO A SEGUI,21:26:44,15
[G] X 19 X BELGRANO A.SEGUI,21:56:44,30
[I] X CENTENARIO LOS PORTEÑOS,22:23:44,27
[A1] CEMENT. L.P. A 32 Y 120,22:53:44,30
[D] X CENTENARIO A SEGUI,23:26:44,33
[TOP] [338] A V. ELISA X CENTENARIO,07:44:06,464
[TOP] [338] A V. ELISA X CENTENARIO,09:34:06,110
[TOP] [338] A V. ELISA X CENTENARIO,11:04:06,90
[TOP] [338] A V. ELISA X CENTENARIO,12:34:06,90
[TOP] [338] A V. ELISA X CENTENARIO,14:02:06,88
[TOP] [338] A V. ELISA X CENTENARIO,15:34:06,92
[TOP] [338] A V. ELISA X CENTENARIO,17:04:06,90
[TOP] [338] A V. ELISA X CENTENARIO,18:34:06,90
[TOP] [338] A V. ELISA X CENTENARIO,20:00:04,86
