Nombre,Hora,Diferencia_Minutos
[418] A BERAZATEGUI,15:48:01,80
[418] A BERAZATEGUI,17:08:01,80
[418] A BERAZATEGUI,18:28:01,80
[418] A BERAZATEGUI,19:48:01,80
[D] X CENTENARIO A SEGUI,00:13:18,13
[D] X CENTENARIO A SEGUI,01:14:18,61
[G] X 19 X BELGRANO A.SEGUI,01:58:18,44
[D] X CENTENARIO A SEGUI,02:54:18,56
[D] X CENTENARIO A SEGUI,03:54:18,60
[G] X 19 X BELGRANO A.SEGUI,04:23:18,29
[D] X CENTENARIO A SEGUI,04:29:18,6
[G] X 19 X BELGRANO A.SEGUI,04:43:18,14
[D] X CENTENARIO A SEGUI,04:49:18,6
[BG]CEMENT X BELG. A GUTIERREZ,05:03:19,14
[D] X CENTENARIO A SEGUI,05:09:18,6
[I] X CENTENARIO LOS PORTEÑOS,05:16:18,7
[D] X CENTENARIO A SEGUI,05:20:18,4
[B11] CEMENT. X BELG. A C BELL,05:23:19,3
[HX28] CLUB.EST. A ARCO.,05:24:18,1
[F] X19 X CENTENARIO A GORINA,05:25:20,1
[G] X 19 X BELGRANO A.SEGUI,05:27:18,2
[A1] CEMENT. L.P. A 32 Y 120,05:30:18,3
[BG]CEMENT X BELG. A GUTIERREZ,05:33:19,3
[C] CEMENT. POR BELG. A GORINA,05:33:19,0
[BC] CEMENT. X BELG. A C BELL,05:41:19,8
[G] X 19 X BELGRANO A.SEGUI,05:43:18,2
[I] X CENTENARIO LOS PORTEÑOS,05:44:18,1
[HX28] CLUB.EST. A ARCO.,05:48:18,4
[D] X CENTENARIO A SEGUI,05:52:18,4
[BG]CEMENT X BELG. A GUTIERREZ,05:53:19,1
[C] CEMENT. POR BELG. A GORINA,05:53:19,0
[A1] CEMENT. L.P. A 32 Y 120,05:55:18,2
[G] X 19 X BELGRANO A.SEGUI,05:59:18,4
[I] X CENTENARIO LOS PORTEÑOS,06:02:18,3
[HX28] CLUB.EST. A ARCO.,06:03:18,1
[B11] CEMENT. X BELG. A C BELL,06:06:19,3
[G] X BELGRANO X19 A SEGUI..,06:07:18,1
[BG]CEMENT X BELG. A GUTIERREZ,06:08:19,1
[F] X19 X CENTENARIO A GORINA,06:15:20,7
[HX28] CLUB.EST. A ARCO.,06:18:18,3
[G] X 19 X BELGRANO A.SEGUI,06:19:18,1
[BG]CEMENT X BELG. A GUTIERREZ,06:21:19,2
[D] X CENTENARIO A SEGUI,06:24:18,3
[A1] CEMENT. L.P. A 32 Y 120,06:25:18,1
[BC] CEMENT. X BELG. A C BELL,06:26:19,1
[C] CEMENT. POR BELG. A GORINA,06:28:19,2
[D] X CENTENARIO A SEGUI,06:42:44,14
[G] X 19 X BELGRANO A.SEGUI,06:44:18,2
[I-AGRARIA] X LOMAS A RUTA 36,06:46:18,2
[B11] CEMENT. X BELG. A C BELL,06:49:45,3
[F] X19 X CENTENARIO A GORINA,06:50:47,1
[5]- A BARRIO SAVOIA,06:53:08,2
[BG]CEMENT X BELG. A GUTIERREZ,06:58:45,6
[D] X CENTENARIO A SEGUI,07:00:44,2
[CX1Y50] X BELG. A GORINA,07:02:17,2
[G] X 19 X BELGRANO A.SEGUI,07:02:18,0
[HX28] CLUB.EST. A ARCO.,07:06:44,4
[I] X CENTENARIO LOS PORTEÑOS,07:08:44,2
[BC] CEMENT. X BELG. A C BELL,07:11:45,3
[A1] CEMENT. L.P. A 32 Y 120,07:20:44,9
[D] X CENTENARIO A SEGUI,07:21:44,1
[G] X BELGRANO X19 A SEGUI..,07:22:18,1
[F] X19 X CENTENARIO A GORINA,07:26:47,4
[BG]CEMENT X BELG. A GUTIERREZ,07:28:45,2
[D] X CENTENARIO A SEGUI,07:32:44,4
[A1] CEMENT. L.P. A 32 Y 120,07:38:44,6
[I] X CENTENARIO LOS PORTEÑOS,07:40:44,2
[B11] CEMENT. X BELG. A C BELL,07:41:45,1
[G] X 19 X BELGRANO A.SEGUI,07:42:18,1
[HX28] CLUB.EST. A ARCO.,07:46:44,4
[D] X CENTENARIO A SEGUI,07:48:44,2
[C] CEMENT. POR BELG. A GORINA,07:53:44,5
[F] X19 X CENTENARIO A GORINA,07:56:47,3
[BG]CEMENT X BELG. A GUTIERREZ,07:58:45,2
[G] X 19 X BELGRANO A.SEGUI,08:00:18,2
[A1] CEMENT. L.P. A 32 Y 120,08:00:44,0
[D] X CENTENARIO A SEGUI,08:04:44,4
[HX28] CLUB.EST. A ARCO.,08:08:44,4
[BC] CEMENT. X BELG. A C BELL,08:11:45,3
[I] X CENTENARIO LOS PORTEÑOS,08:12:44,1
[C] CEMENT. POR BELG. A GORINA,08:13:44,1
[A1] CEMENT. L.P. A 32 Y 120,08:18:44,5
[D] X CENTENARIO A SEGUI,08:20:44,2
[G] X BELGRANO X19 A SEGUI..,08:22:18,2
[C] CEMENT. POR BELG. A GORINA,08:26:44,4
[BG]CEMENT X BELG. A GUTIERREZ,08:28:45,2
[F] X19 X CENTENARIO A GORINA,08:28:47,0
[HX28] CLUB.EST. A ARCO.,08:33:44,5
[D] X CENTENARIO A SEGUI,08:36:44,3
[A1] CEMENT. L.P. A 32 Y 120,08:40:44,4
[B11] CEMENT. X BELG. A C BELL,08:41:45,1
[G] X 19 X BELGRANO A.SEGUI,08:42:18,1
[I] X CENTENARIO LOS PORTEÑOS,08:45:44,3
[5]- A BARRIO SAVOIA,08:53:08,7
[D] X CENTENARIO A SEGUI,08:54:44,2
[BG]CEMENT X BELG. A GUTIERREZ,08:58:45,4
[A1] CEMENT. L.P. A 32 Y 120,09:00:44,2
[G] X BELGRANO X19 A SEGUI..,09:02:18,2
[F] X19 X CENTENARIO A GORINA,09:03:47,1
[CX1Y50] X BELG. A GORINA,09:08:17,4
[BC] CEMENT. X BELG. A C BELL,09:08:45,0
[HX28] CLUB.EST. A ARCO.,09:11:44,3
[D] X CENTENARIO A SEGUI,09:12:44,1
[A1] CEMENT. L.P. A 32 Y 120,09:20:44,8
[I] X CENTENARIO LOS PORTEÑOS,09:21:44,1
[G] X 19 X BELGRANO A.SEGUI,09:22:18,1
[C] CEMENT. POR BELG. A GORINA,09:28:44,6
[D] X CENTENARIO A SEGUI,09:30:44,2
[B11] CEMENT. X BELG. A C BELL,09:31:45,1
[F] X19 X CENTENARIO A GORINA,09:39:47,8
[A1] CEMENT. L.P. A 32 Y 120,09:40:44,1
[G] X BELGRANO X19 A SEGUI..,09:42:18,2
